Crop,Season,SoilType,pH,FertilizerRecommendation
Onion,Kharif,Clay,5.8,Urea 50kg/acre
Cotton,Zaid,Peaty,6.1,NPK 18:18:18
Wheat,Kharif,Peaty,8,NPK 16:16:16
Onion,Zaid,Clay,7,Urea 40kg/acre
Potato,Zaid,Loamy,7,NPK 20:20:0
Cotton,Kharif,Silty,5.4,Urea 35kg/acre
Cotton,Rabi,Peaty,6.1,Urea 30kg/acre
Maize,Rabi,Peaty,5.1,NPK 20:20:0
Chili,Kharif,Sandy,7.9,Urea 35kg/acre
Maize,Zaid,Loamy,5.6,Farmyard manure 10t/ha
Sugarcane,Zaid,Peaty,6.3,Urea 40kg/acre
Cabbage,Zaid,Peaty,5.4,NPK 14:28:14
Cauliflower,Zaid,Silty,6.8,Urea 40kg/acre
Rice,Kharif,Clay,5.9,NPK 14:28:14
Barley,Zaid,Clay,5.1,NPK 10:20:10
Rice,Rabi,Peaty,6,Urea 35kg/acre
Tomato,Rabi,Loamy,5.3,Urea 50kg/acre
Cauliflower,Zaid,Sandy,6.8,DAP 25kg/acre
Mustard,Zaid,Clay,7.6,Urea 30kg/acre
Soybean,Kharif,Clay,7.3,NPK 10:20:10
Maize,Zaid,Sandy,7.6,NPK 12:32:16
Sugarcane,Kharif,Sandy,5.6,NPK 20:20:0
Millet,Kharif,Silty,5.6,Urea 35kg/acre
Chili,Zaid,Clay,6.2,DAP 25kg/acre
Sugarcane,Kharif,Sandy,6.5,Urea 40kg/acre
Cotton,Zaid,Peaty,6.2,NPK 18:18:18
Potato,Rabi,Silty,6.6,Urea 40kg/acre
Wheat,Zaid,Loamy,6.1,NPK 14:28:14
Cotton,Kharif,Peaty,7.7,NPK 12:32:16
Tomato,Rabi,Silty,7.7,NPK 14:28:14
Sugarcane,Kharif,Clay,5,Urea 30kg/acre
Soybean,Zaid,Loamy,7.7,NPK 16:16:16
Mustard,Zaid,Loamy,5.4,NPK 20:20:0
Cauliflower,Zaid,Clay,5.8,Farmyard manure 10t/ha
Millet,Rabi,Loamy,5.7,NPK 15:15:15
Sugarcane,Kharif,Clay,5.3,NPK 16:16:16
Soybean,Zaid,Clay,5.4,NPK 16:16:16
Tomato,Kharif,Silty,7.5,NPK 10:20:10
Cabbage,Kharif,Clay,5.6,DAP 25kg/acre
Onion,Rabi,Peaty,5,NPK 15:15:15
Maize,Rabi,Peaty,6,NPK 10:20:10
Soybean,Zaid,Loamy,6.9,Urea 35kg/acre
Wheat,Rabi,Loamy,6.9,NPK 20:20:0
Soybean,Kharif,Sandy,5.2,Urea 50kg/acre
Cabbage,Kharif,Clay,6,NPK 16:16:16
Onion,Rabi,Silty,7.1,NPK 16:16:16
Cotton,Rabi,Sandy,5.9,DAP 25kg/acre
Wheat,Rabi,Silty,6.4,Farmyard manure 10t/ha
Wheat,Kharif,Peaty,7.8,NPK 12:32:16
Sugarcane,Rabi,Loamy,6.2,Urea 50kg/acre
Maize,Zaid,Peaty,6.5,NPK 16:16:16
Chili,Kharif,Sandy,7.3,Farmyard manure 10t/ha
Barley,Rabi,Sandy,7.6,NPK 20:20:0
Mustard,Rabi,Loamy,6.9,Urea 35kg/acre
Rice,Kharif,Silty,7,DAP 20kg/acre
Millet,Kharif,Silty,7.6,Urea 40kg/acre
Millet,Zaid,Silty,7.8,Urea 50kg/acre
Chili,Kharif,Sandy,7.3,NPK 16:16:16
Sugarcane,Zaid,Silty,7,Urea 35kg/acre
Cabbage,Zaid,Clay,7.6,Urea 30kg/acre
Barley,Rabi,Clay,6,Urea 40kg/acre
Barley,Kharif,Clay,5.8,NPK 15:15:15
Cotton,Zaid,Clay,5.9,NPK 20:20:0
Rice,Kharif,Sandy,6.1,NPK 16:16:16
Barley,Kharif,Sandy,7.4,Farmyard manure 10t/ha
Rice,Rabi,Sandy,7.5,NPK 20:20:0
Rice,Zaid,Peaty,6.2,NPK 20:20:0
Potato,Zaid,Sandy,7.9,DAP 25kg/acre
Onion,Kharif,Sandy,6.8,DAP 20kg/acre
Millet,Kharif,Loamy,5.8,Urea 30kg/acre
Barley,Rabi,Clay,8,NPK 18:18:18
Potato,Zaid,Loamy,5.9,NPK 12:32:16
